id,birth_yr,gender,race,schooling,parent_edu,afqt,income,wage
2517,1963,male,"non-black, non-hispanic",12,9,76.005,34000,15.5
2518,1957,male,"non-black, non-hispanic",14,13,81.543,10000,12
2521,1963,female,"non-black, non-hispanic",12,9,11.934,30000,14.42
2522,1959,male,"non-black, non-hispanic",12,12,50.21,45000,11.53
2523,1959,female,"non-black, non-hispanic",14,12,90.558,73601,38.1
2525,1959,female,"non-black, non-hispanic",12,10,39.571,26000,10.57
2529,1962,female,"non-black, non-hispanic",12,10,28.439,7000,7.5
2535,1957,male,"non-black, non-hispanic",12,12,24.83,26000,7.69
2537,1958,male,"non-black, non-hispanic",12,12,35.987,21000,22.43
2538,1960,female,"non-black, non-hispanic",12,11,3.243,15000,10.17
2539,1960,male,"non-black, non-hispanic",12,12,29.224,67000,26
2540,1962,male,"non-black, non-hispanic",12,10,30.17,35000,17
2541,1961,male,"non-black, non-hispanic",12,11,98.399,70000,23.25
2542,1962,female,"non-black, non-hispanic",13,10,62.877,35000,10.43
2543,1958,female,"non-black, non-hispanic",12,12,35.478,40000,19.23
2544,1959,female,"non-black, non-hispanic",16,13,38.63,120000,53.84
2545,1961,male,"non-black, non-hispanic",16,11,75.455,180000,65.38
2546,1964,male,"non-black, non-hispanic",12,8,23.33,6000,5.81
2549,1959,female,"non-black, non-hispanic",18,12,92.726,12000,9.61
2551,1961,female,"non-black, non-hispanic",16,11,99.523,48200,24.11
2552,1963,female,"non-black, non-hispanic",16,9,86.171,45000,16.57
2553,1961,male,"non-black, non-hispanic",12,11,72.096,32000,13.37
2555,1960,male,"non-black, non-hispanic",11,11,40.858,107000,16.02
2556,1960,female,"non-black, non-hispanic",12,11,70.61,18000,13.5
2557,1964,male,"non-black, non-hispanic",16,8,93.207,153431,54.61
2558,1961,female,hispanic,18,10,74.219,86140,43.79
2559,1964,female,"non-black, non-hispanic",12,8,71.891,37000,24.51
2568,1957,male,"non-black, non-hispanic",12,14,76.751,25000,8.89
2569,1959,female,"non-black, non-hispanic",18,13,88.401,12000,15.38
2572,1962,male,"non-black, non-hispanic",16,10,66.774,65000,44
2577,1961,female,"non-black, non-hispanic",12,11,27.254,62000,27.88
2578,1961,male,"non-black, non-hispanic",14,11,7.222,24000,13
2581,1962,male,"non-black, non-hispanic",12,10,42.748,48000,23.07
2582,1961,male,"non-black, non-hispanic",10,11,20.223,50000,16.61
2584,1964,male,"non-black, non-hispanic",9,8,10.007,31000,16
2585,1959,female,"non-black, non-hispanic",13,12,51.366,66000,18.66
2586,1960,male,"non-black, non-hispanic",12,12,42.596,90000,34.61
2587,1960,male,"non-black, non-hispanic",10,8,6.212,42000,16.35
2588,1961,female,"non-black, non-hispanic",20,12,97.318,78000,30
2589,1964,male,"non-black, non-hispanic",18,9,94.663,185000,71.15
2590,1961,female,"non-black, non-hispanic",16,12,87.121,24000,12.95
2591,1962,female,"non-black, non-hispanic",12,11,66.724,37000,12.82
2594,1962,male,"non-black, non-hispanic",12,11,34.866,106000,25.48
2598,1964,male,"non-black, non-hispanic",12,8,17.817,31000,11.25
2602,1964,male,"non-black, non-hispanic",12,9,73.986,75000,15.38
